time,CO,y,CO2,electricity,type,id,eclass,waiting,NOx,fuel,HC,x,route,relative_position,noise,angle,PMx,speed,edge_id,lane_number
1.0,31.47,-1.6,2090.16,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,0.72,0.9,0.19,405.1,routeedge1_0,5.1,60.84,90.0,0.02,8.71,edge1,2
1.1,72.02,-1.6,4103.73,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.67,1.76,0.42,405.98,routeedge1_0,5.98,64.0,90.0,0.07,8.8,edge1,2
1.2,71.33,-1.6,4113.81,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.67,1.77,0.42,406.87,routeedge1_0,6.87,64.03,90.0,0.07,8.89,edge1,2
1.3,70.64,-1.6,4123.41,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.67,1.77,0.42,407.77,routeedge1_0,7.77,64.07,90.0,0.07,8.98,edge1,2
1.4,69.95,-1.6,4132.53,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.67,1.78,0.41,408.67,routeedge1_0,8.67,64.1,90.0,0.07,9.06,edge1,2
1.5,69.26,-1.6,4141.15,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.67,1.78,0.41,409.59,routeedge1_0,9.59,64.13,90.0,0.07,9.15,edge1,2
1.6,68.58,-1.6,4149.28,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.68,1.78,0.41,410.51,routeedge1_0,10.51,64.16,90.0,0.07,9.23,edge1,2
1.7,67.89,-1.6,4156.9,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.68,1.79,0.41,411.44,routeedge1_0,11.44,64.19,90.0,0.07,9.32,edge1,2
1.8,67.21,-1.6,4164.0,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.68,1.79,0.4,412.38,routeedge1_0,12.38,64.22,90.0,0.07,9.4,edge1,2
1.9,66.53,-1.6,4170.57,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.68,1.79,0.4,413.33,routeedge1_0,13.33,64.25,90.0,0.07,9.49,edge1,2
2.0,65.84,-1.6,4176.61,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.68,1.8,0.4,414.29,routeedge1_0,14.29,64.28,90.0,0.07,9.57,edge1,2
2.1,65.16,-1.6,4182.11,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.68,1.8,0.39,415.25,routeedge1_0,15.25,64.3,90.0,0.07,9.65,edge1,2
