time,CO,y,CO2,electricity,type,id,eclass,waiting,NOx,fuel,HC,x,route,relative_position,noise,angle,PMx,speed,edge_id,lane_number
1.0,122.45,-8.0,2375.28,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.03,1.02,0.61,405.1,routeedge1_0,5.1,56.85,90.0,0.05,2.22,edge1,0
1.1,133.01,-8.0,2964.41,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.3,1.27,0.67,405.33,routeedge1_0,5.33,61.21,90.0,0.06,2.32,edge1,0
1.2,131.8,-8.0,2980.72,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.31,1.28,0.67,405.57,routeedge1_0,5.57,61.25,90.0,0.06,2.42,edge1,0
1.3,130.59,-8.0,2997.17,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.31,1.29,0.66,405.83,routeedge1_0,5.83,61.29,90.0,0.06,2.52,edge1,0
1.4,129.4,-8.0,3013.76,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.32,1.3,0.66,406.09,routeedge1_0,6.09,61.33,90.0,0.06,2.62,edge1,0
1.5,128.21,-8.0,3030.48,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.32,1.3,0.65,406.36,routeedge1_0,6.36,61.37,90.0,0.06,2.72,edge1,0
1.6,127.04,-8.0,3047.33,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.33,1.31,0.65,406.64,routeedge1_0,6.64,61.42,90.0,0.06,2.81,edge1,0
1.7,125.88,-8.0,3064.32,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.33,1.32,0.64,406.93,routeedge1_0,6.93,61.46,90.0,0.06,2.91,edge1,0
1.8,124.73,-8.0,3081.43,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.34,1.32,0.64,407.23,routeedge1_0,7.23,61.5,90.0,0.06,3.01,edge1,0
1.9,123.59,-8.0,3098.67,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.34,1.33,0.63,407.54,routeedge1_0,7.54,61.54,90.0,0.06,3.11,edge1,0
2.0,122.46,-8.0,3116.03,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.35,1.34,0.63,407.87,routeedge1_0,7.87,61.58,90.0,0.06,3.21,edge1,0
2.1,121.34,-8.0,3133.51,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.35,1.35,0.62,408.2,routeedge1_0,8.2,61.63,90.0,0.06,3.31,edge1,0
2.2,120.23,-8.0,3151.1,0.0,human,flow_00.0,HBEFA3/PC_G_EU4,0.0,1.36,1.35,0.62,408.54,routeedge1_0,8.54,61.67,90.0,0.06,3.41,edge1,0
